verb	class	routing	bindable	group	tier	replacement
editor.sculpt.pole	DOOR	immediate	no			
editor.sculpt.prev	SUGAR	immediate	yes	D. stepped/cycled twin of an arg-taking verb (bind via CommandValue, the player.claim precedent)	1	editor.sculpt.select prev (same widening)
editor.sculpt.primitive	DOOR	immediate	yes			
editor.sculpt.redo	DOOR	immediate	yes			
editor.sculpt.remove	DOOR	immediate	yes			
editor.sculpt.rename	SUGAR	immediate	no	J. per-field setter family on one subject (same shape as the *.tune verdict)	2	editor.sculpt.set name <name>
editor.sculpt.rotate	SUGAR	immediate	no	J. per-field setter family on one subject (same shape as the *.tune verdict)	2	editor.sculpt.set rotate <yaw> <pitch> <roll>
editor.sculpt.scale	DOOR	immediate	no			
editor.sculpt.select	DOOR	immediate	no			
editor.sculpt.shrink	SUGAR	immediate	yes	D. stepped/cycled twin of an arg-taking verb (bind via CommandValue, the player.claim precedent)	1	editor.sculpt.scale shrink (same widening)
editor.sculpt.smooth	DOOR	immediate	no			
editor.sculpt.smooth.down	SUGAR	immediate	yes	D. stepped/cycled twin of an arg-taking verb (bind via CommandValue, the player.claim precedent)	1	editor.sculpt.smooth down (widen to <v|up|down>)
editor.sculpt.smooth.up	SUGAR	immediate	yes	D. stepped/cycled twin of an arg-taking verb (bind via CommandValue, the player.claim precedent)	1	editor.sculpt.smooth up   (widen to <v|up|down>)
editor.sculpt.status	READ-BACK	immediate	no			
editor.sculpt.twist	SUGAR	immediate	no	J. per-field setter family on one subject (same shape as the *.tune verdict)	2	editor.sculpt.set twist <v>
editor.sculpt.undo	DOOR	immediate	yes			
editor.sculpt.ungroup	DOOR	immediate	no			
editor.sculpt.zoom	DOOR	immediate	no			
editor.sculpt.zoom.in	SUGAR	immediate	yes	D. stepped/cycled twin of an arg-taking verb (bind via CommandValue, the player.claim precedent)	1	editor.sculpt.zoom in   (verb ALREADY accepts in|out|<distance>)
editor.sculpt.zoom.out	SUGAR	immediate	yes	D. stepped/cycled twin of an arg-taking verb (bind via CommandValue, the player.claim precedent)	1	editor.sculpt.zoom out  (verb ALREADY accepts in|out|<distance>)
editor.select	DOOR	immediate	no			
editor.slower	SUGAR	immediate	yes	D. stepped/cycled twin of an arg-taking verb (bind via CommandValue, the player.claim precedent)	1	editor.cam.speed slower (same widening)
editor.snap	DOOR	immediate	yes			
editor.spawn.creation	DOOR	immediate	yes			
editor.speaker.channel	SUGAR	simulation	no	K. editor twin submitting a mutation an existing document verb already submits	2	world.speaker.set <json>   (both submit UpsertSpeaker)
editor.speaker.delete	SUGAR	simulation	no	K. editor twin submitting a mutation an existing document verb already submits	2	world.speaker.remove <name> (both submit RemoveSpeaker)
editor.speaker.gain	SUGAR	simulation	no	K. editor twin submitting a mutation an existing document verb already submits	2	world.speaker.set <json>   (both submit UpsertSpeaker)
editor.speaker.move	SUGAR	simulation	no	K. editor twin submitting a mutation an existing document verb already submits	2	world.speaker.set <json>   (both submit UpsertSpeaker)
editor.speaker.place	DOOR	simulation	no			
editor.speaker.radius	SUGAR	simulation	no	K. editor twin submitting a mutation an existing document verb already submits	2	world.speaker.set <json>   (both submit UpsertSpeaker)
editor.status	READ-BACK	immediate	yes			
editor.stick.look	DOOR	immediate	yes			
editor.stick.move	DOOR	immediate	yes			
help	BUILT-IN	builtin	no			
identity.bindings.save	DOOR	simulation	no			
identity.create	DOOR	immediate	no			
identity.deliver	SUGAR	simulation	no	H. dev harness duplicating a shipped door	2	chat.whisper (the real door). Its ONLY extra ability is forging an arbitrary source id — a capability the authority model denies everywhere else.
identity.hud	DOOR	simulation	no			
identity.list	READ-BACK	immediate	no			
identity.motion	DOOR	simulation	no			
identity.show	READ-BACK	immediate	no			
identity.state	READ-BACK	immediate	no			
identity.writebacks	READ-BACK	immediate	no			
player.assign	DOOR	simulation	yes			
player.bind	DOOR	simulation	no			
player.bindings	READ-BACK	immediate	no			
player.channels	READ-BACK	immediate	yes			
player.claim	DOOR	simulation	yes			
player.confirm	DOOR	simulation	yes			
player.control	DOOR	simulation	yes			
player.cycle	DOOR	simulation	yes			
player.designate	DOOR	simulation	no			
player.disengage	DOOR	simulation	yes			
player.engage	DOOR	simulation	yes			
player.face	SUGAR	simulation	yes	E. planar shorthand over a general pose door (stale-read RMW)	2	player.pose - - - <deg> - -   (widen player.pose with '-' = hold current)
player.fly	DOOR	simulation	yes			
player.identity	DOOR	simulation	yes			
player.join	DOOR	simulation	yes			
player.leave	DOOR	simulation	yes			
player.look	DOOR	simulation	yes			
player.motion	DOOR	simulation	yes			
player.move	DOOR	simulation	yes			
player.pose	DOOR	simulation	yes			
player.press	DOOR	simulation	yes			
player.reconcile	DOOR	simulation	yes			
player.run	SUGAR	simulation	yes	D. stepped/cycled twin of an arg-taking verb (bind via CommandValue, the player.claim precedent)	1	player.fly <f> <s> 0 <turn> 0 0 <sec>  (fly is the strict 6DOF superset)
player.signal	DOOR	simulation	no			
player.state	READ-BACK	immediate	no			
player.state-load	DOOR	simulation	no			
player.sticks	READ-BACK	immediate	yes			
player.stop	DOOR	simulation	yes			
player.targets	READ-BACK	simulation	no			
player.warp	SUGAR	simulation	yes	E. planar shorthand over a general pose door (stale-read RMW)	2	player.pose <x> - <z> - - -   (same widening)
player.where	READ-BACK	immediate	yes			
quit	ENGINE-IO	immediate	yes			
replay.cancel	ENGINE-IO	immediate	no			
replay.list	READ-BACK	immediate	no			
replay.record	ENGINE-IO	immediate	no			
replay.status	READ-BACK	immediate	no			
replay.stop	ENGINE-IO	immediate	no			
replay.verify	ENGINE-IO	immediate	no			
screen.camera	SUGAR	simulation	no	F. per-kind verb family collapsing to one verb + subcommand token	2	screen.source <index> camera
screen.capture	SUGAR	simulation	no	F. per-kind verb family collapsing to one verb + subcommand token	2	screen.source <index> capture <windowTitle...>
screen.desktop	SUGAR	simulation	no	F. per-kind verb family collapsing to one verb + subcommand token	2	screen.source <index> desktop [monitorIndex]
screen.eject	DOOR	simulation	no			
screen.insert	DOOR	simulation	no			
screen.link	DOOR	simulation	no			
screen.links	READ-BACK	immediate	no			
screen.options	DOOR	simulation	no			
screen.peek	READ-BACK	immediate	no			
screen.qr	SUGAR	simulation	no	F. per-kind verb family collapsing to one verb + subcommand token	2	screen.source <index> qr [payload] [ecLevel] [quietZone]
screen.select	DOOR	simulation	no			
screen.state	READ-BACK	immediate	no			
screen.unlink	DOOR	simulation	no			
screen.view	SUGAR	simulation	no	F. per-kind verb family collapsing to one verb + subcommand token	2	screen.source <index> view <cameraName>
speaker.state	READ-BACK	immediate	no			
storage.credential	READ-BACK	immediate	no			
storage.pull	ENGINE-IO	immediate	no			
storage.push	ENGINE-IO	immediate	no			
storage.status	READ-BACK	immediate	no			
view.camera	SUGAR	simulation	no	F. per-kind verb family collapsing to one verb + subcommand token	2	view.override camera <name|auto>
view.layout	SUGAR	simulation	no	F. per-kind verb family collapsing to one verb + subcommand token	2	view.override layout <name|auto>
wire.ack	BUILT-IN	builtin	no			
wire.errors	BUILT-IN	builtin	no			
world.addon.disable	DOOR	simulation	no			
world.addon.enable	DOOR	simulation	no			
world.addon.mount	DOOR	simulation	no			
world.addon.reload	DOOR	simulation	no			
world.addon.remove	SUGAR	simulation	no	I. document row/section family	3	world.row.remove <section> <key>
world.addon.set	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>
world.addon.unmount	DOOR	simulation	no			
world.addons	READ-BACK	immediate	no			
world.affordances	READ-BACK	immediate	no			
world.ao	DOOR	immediate	no			
world.ao-quality	DOOR	immediate	no			
world.attachments	READ-BACK	immediate	no			
world.audio.set	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>  (keyless singleton section)
world.authoring.set	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>  (keyless singleton section)
world.bindings.remove	SUGAR	simulation	no	I. document row/section family	3	world.row.remove <section> <key>
world.bindings.set	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>
world.camera.remove	SUGAR	simulation	no	I. document row/section family	3	world.row.remove <section> <key>
world.camera.set	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>
world.cameras	READ-BACK	immediate	no			
world.collision	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>  (keyless singleton section)
world.collision.gradient	SUGAR	simulation	no	B. RMW field wrapper over a whole-row upsert	1	world.collision <json>
world.collision.probe	READ-BACK	immediate	no			
world.collision.requirements	SUGAR	simulation	no	B. RMW field wrapper over a whole-row upsert	1	world.collision <json>
world.collision.skin	SUGAR	simulation	no	B. RMW field wrapper over a whole-row upsert	1	world.collision <json>
world.collision.slope	SUGAR	simulation	no	B. RMW field wrapper over a whole-row upsert	1	world.collision <json>
world.collision.status	READ-BACK	immediate	no			
world.console	DOOR	immediate	yes			
world.contacts	READ-BACK	immediate	no			
world.creation.remove	SUGAR	simulation	no	I. document row/section family	3	world.row.remove <section> <key>
world.creation.set	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>
world.debug-view	DOOR	immediate	no			
world.device-profiles	READ-BACK	immediate	no			
world.devices	READ-BACK	immediate	no			
world.faces	READ-BACK	immediate	no			
world.far-field	DOOR	immediate	no			
world.fps	READ-BACK	immediate	no			
world.generate	DOOR	simulation	no			
world.gpu	READ-BACK	immediate	no			
world.grant	DOOR	simulation	no			
world.grant.remove	SUGAR	simulation	no	I. document row/section family	3	world.row.remove <section> <key>
world.grant.set	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>
world.grants	READ-BACK	immediate	no			
world.group.form	DOOR	simulation	no			
world.group.join	DOOR	simulation	no			
world.group.kick	DOOR	simulation	no			
world.group.kind.remove	SUGAR	simulation	no	I. document row/section family	3	world.row.remove <section> <key>
world.group.kind.set	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>
world.group.leave	DOOR	simulation	no			
world.groups	READ-BACK	immediate	no			
world.host	READ-BACK	immediate	no			
world.host.set	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>  (keyless singleton section)
world.host.tune	SUGAR	simulation	no	A. self-declared "Console sugar" RMW	1	world.host.set <json>
world.hud	READ-BACK	immediate	no			
world.hud.defaults.set	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>  (keyless singleton section)
world.hud.element.remove	SUGAR	simulation	no	B. RMW field wrapper over a whole-row upsert	1	world.hud.panel.set <json> (elements ride the panel row)
world.hud.element.set	SUGAR	simulation	no	B. RMW field wrapper over a whole-row upsert	1	world.hud.panel.set <json> (elements ride the panel row)
world.hud.panel.remove	SUGAR	simulation	no	I. document row/section family	3	world.row.remove <section> <key>
world.hud.panel.set	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>
world.hud.template	READ-BACK	immediate	no			
world.identify	DOOR	simulation	no			
world.inhabitants	READ-BACK	immediate	no			
world.input-hold.set	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>  (keyless singleton section)
world.input-holds	READ-BACK	immediate	no			
world.instance.seat.enter	SUGAR	simulation	no	G. per-target duplication of an existing verb surface	2	player.join <profile> [n] instance:<name>
world.instance.seat.face	SUGAR	simulation	no	G. per-target duplication of an existing verb surface	2	player.face <deg> <n> instance:<name>
world.instance.seat.leave	SUGAR	simulation	no	G. per-target duplication of an existing verb surface	2	player.leave <n> instance:<name>
world.instance.seat.run	SUGAR	simulation	no	G. per-target duplication of an existing verb surface	2	player.run/fly ... <n> instance:<name>
world.instance.seat.stop	SUGAR	simulation	no	G. per-target duplication of an existing verb surface	2	player.stop <n> instance:<name>
world.instance.seat.warp	SUGAR	simulation	no	G. per-target duplication of an existing verb surface	2	player.warp <x> <z> <n> instance:<name>
world.instance.seat.where	SUGAR	immediate	no	G. per-target duplication of an existing verb surface	2	player.where <n> instance:<name>
world.instance.seats	READ-BACK	immediate	no			
world.instance.start	DOOR	simulation	no			
world.instance.status	READ-BACK	immediate	no			
world.instance.stop	DOOR	simulation	no			
world.interaction.remove	SUGAR	simulation	no	I. document row/section family	3	world.row.remove <section> <key>
world.interaction.set	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>
world.interactions	READ-BACK	immediate	no			
world.kit.assign	SUGAR	simulation	no	F. per-kind verb family collapsing to one verb + subcommand token	2	world.assign kits r1|cycle <name>...
world.kit.collider	SUGAR	simulation	no	B. RMW field wrapper over a whole-row upsert	1	world.kit.set <kit-json>
world.kit.default	DOOR	simulation	no			
world.kit.program	SUGAR	simulation	no	B. RMW field wrapper over a whole-row upsert	1	world.kit.set <kit-json>
world.kit.remove	SUGAR	simulation	no	I. document row/section family	3	world.row.remove <section> <key>
world.kit.response	SUGAR	simulation	no	B. RMW field wrapper over a whole-row upsert	1	world.kit.set <kit-json>
world.kit.set	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>
world.kit.tune	SUGAR	simulation	no	A. self-declared "Console sugar" RMW	1	world.kit.set <kit-json>
world.link.remove	SUGAR	simulation	no	I. document row/section family	3	world.row.remove <section> <key>
world.link.set	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>
world.load	DOOR	simulation	no			
world.look.assign	SUGAR	simulation	no	F. per-kind verb family collapsing to one verb + subcommand token	2	world.assign looks r1|cycle <name>...
world.look.remove	SUGAR	simulation	no	I. document row/section family	3	world.row.remove <section> <key>
world.look.set	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>
world.look.tune	SUGAR	simulation	no	A. self-declared "Console sugar" RMW	1	world.look.set <look-json>
world.looks	READ-BACK	immediate	no			
world.motion.set	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>  (keyless singleton section)
world.ownership.accept	DOOR	simulation	no			
world.ownership.offer	DOOR	simulation	no			
world.ownership.reclaim	DOOR	simulation	no			
world.parked	READ-BACK	immediate	no			
world.patch.remove	SUGAR	simulation	no	I. document row/section family	3	world.row.remove <section> <key>
world.patch.set	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>
world.peers	READ-BACK	immediate	no			
world.placement.face	SUGAR	simulation	no	B. RMW field wrapper over a whole-row upsert	1	world.placement.set <json>
world.placement.get	READ-BACK	immediate	no			
world.placement.inhabit	SUGAR	simulation	no	B. RMW field wrapper over a whole-row upsert	1	world.placement.set <json>
world.placement.remove	SUGAR	simulation	no	I. document row/section family	3	world.row.remove <section> <key>
world.placement.set	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>
world.players	READ-BACK	immediate	no			
world.population	DOOR	simulation	no			
world.population.defaults	DOOR	simulation	no			
world.population.spawn	DOOR	simulation	no			
world.portals	READ-BACK	immediate	no			
world.properties	READ-BACK	immediate	no			
world.property.remove	SUGAR	simulation	no	I. document row/section family	3	world.row.remove <section> <key>
world.property.set	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>
world.quality	DOOR	immediate	no			
world.references	READ-BACK	immediate	no			
world.refusals	READ-BACK	immediate	no			
world.reload	DOOR	simulation	no			
world.render-scale	DOOR	immediate	no			
world.render.defaults	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>  (keyless singleton section)
world.reset	DOOR	simulation	no			
world.revoke	DOOR	simulation	no			
world.rule.remove	SUGAR	simulation	no	I. document row/section family	3	world.row.remove <section> <key>
world.rule.set	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>
world.rules	READ-BACK	immediate	no			
world.save	ENGINE-IO	immediate	no			
world.screen.remove	SUGAR	simulation	no	I. document row/section family	3	world.row.remove <section> <key>
world.screen.set	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>
world.screens	READ-BACK	immediate	no			
world.screenshot	ENGINE-IO	immediate	no			
world.sdf.load	ENGINE-IO	immediate	no			
world.shadow-march	DOOR	immediate	no			
world.shadow-mask	DOOR	immediate	no			
world.shadow.accumulate	DOOR	immediate	no			
world.shadows	DOOR	immediate	no			
world.spawns.set	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>  (keyless singleton section)
world.speaker.remove	SUGAR	simulation	no	I. document row/section family	3	world.row.remove <section> <key>
world.speaker.set	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>
world.speakers	READ-BACK	immediate	no			
world.state	READ-BACK	immediate	no			
world.state.cell.remove	DOOR	simulation	no			
world.state.cell.set	DOOR	simulation	no			
world.state.cell.text	SUGAR	simulation	no	C. door-not-type split (one act, two verbs by operand kind)	1	world.state.cell.set <row> <key> <value> (dispatch on the row's declared kind)
world.state.remove	SUGAR	simulation	no	I. document row/section family	3	world.row.remove <section> <key>
world.state.set	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>
world.status	READ-BACK	immediate	no			
world.target	DOOR	immediate	no			
world.timing	DOOR	immediate	no			
world.transfer	DOOR	simulation	no			
world.tune.remove	SUGAR	simulation	no	I. document row/section family	3	world.row.remove <section> <key>
world.tune.set	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>
world.undo	DOOR	simulation	no			
world.upscale-sharpness	DOOR	immediate	no			
world.view-refresh	DOOR	immediate	no			
world.view.layout.remove	SUGAR	simulation	no	I. document row/section family	3	world.row.remove <section> <key>
world.view.layout.set	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>
world.view.look	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>  (keyless singleton section)
world.view.orbit	READ-BACK	immediate	no			
world.view.rig	SUGAR	simulation	no	I. document row/section family	3	world.row.set <section> <json>  (keyless singleton section)
world.view.state	READ-BACK	immediate	no			
world.volume	DOOR	immediate	no			
world.wait	ENGINE-IO	immediate	no			
world.why	READ-BACK	immediate	no			
